,,OCGT 600MW 2000 hr ,,,OCGT 400MW 2000 hr ,,,OCGT 300MW 2000 hr ,,,OCGT 299MW 2000 hr ,,
Reference plant size ,MW ,625,,,400,,,311,,,299,,
Average load factor (net of availability) ,% ,22%,,,22%,,,22%,,,22%,,
Efficiency (HHV) ,% ,35%,,,34%,,,35%,,,35%,,
Pre-development period ,Duration and % spend per years 1 & 2 ,2 years ,55.60%,44.40%,2 years ,55.60%,44.40%,2 years ,55.60%,44.40%,2 years ,55.60%,44.40%
,"% spend per years 3, 4, & 5 ",,,,,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Construction period ,Duration and % spend per years 1 & 2 ,2 years ,50%,50%,2 years ,50%,50%,2 years ,50%,50%,2 years ,50%,50%
,"% spend per years 3, 4, & 5 ",,,,,,,,,,,,
,"% spend per years 6, 7, & 8 ",,,,,,,,,,,,
Operating period ,Duration ,25 years ,,,25 years ,,,25 years ,,,25 years ,,
,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,,Commissioning year ,,
,,2018,2020,2025,2018,2020,2025,2018,2020,2025,2018,2020,2025
Pre-development £/kW ,High ,20,20,20,30,30,30,40,40,40,40,40,40
,Medium ,20,20,20,30,30,30,30,30,30,30,30,30
,Low ,20,20,20,20,20,20,30,30,30,30,30,30
Construction £/kW ,High ,300,300,300,400,400,400,600,700,700,600,700,700
,Medium ,300,300,300,300,300,300,400,400,400,400,400,400
,Low ,300,300,300,300,300,300,300,300,300,300,300,300
Infrastructure £'000s ,High ,"30,200","30,200","30,200","30,200","30,200","30,200","27,100","27,100","27,100","27,100","27,100","27,100"
,Medium ,"15,100","15,100","15,100","15,100","15,100","15,100","13,600","13,600","13,600","13,600","13,600","13,600"
,Low ,"7,600","7,600","7,600","7,600","7,600","7,600","6,800","6,800","6,800","6,800","6,800","6,800"
Fixed O&M £/MW/year ,Medium ,"6,800","6,800","6,800","7,800","7,800","7,800","9,500","9,500","9,500","9,600","9,600","9,600"
Variable O&M £/MWh ,Medium ,3,3,3,3,3,3,3,3,3,3,3,3
Insurance £/MWh/year ,Medium ,"1,200","1,200","1,200","1,300","1,300","1,300","1,600","1,600","1,600","1,600","1,600","1,600"
Connection and Use of System charges £/MW/year ,Medium ,"2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500","2,500"
,,,,,,,,,,,,,