,Average_Load_Factor,Connect_system_cost-Medium _2016,Connect_system_cost-Medium _2017,Connect_system_cost-Medium _2020,Constr_1,Constr_2,Constr_3,Constr_4,Constr_5,Constr_6,Constr_7,Constr_8,Constr_Dur,Constr_cost-High _2016,Constr_cost-High _2017,Constr_cost-High _2020,Constr_cost-Low _2016,Constr_cost-Low _2017,Constr_cost-Low _2020,Constr_cost-Medium _2016,Constr_cost-Medium _2017,Constr_cost-Medium _2020,Efficiency,Fixed_cost-Medium _2016,Fixed_cost-Medium _2017,Fixed_cost-Medium _2020,Infra_cost-High _2016,Infra_cost-High _2017,Infra_cost-High _2020,Infra_cost-Low _2016,Infra_cost-Low _2017,Infra_cost-Low _2020,Infra_cost-Medium _2016,Infra_cost-Medium _2017,Infra_cost-Medium _2020,Insurance_cost-Medium _2016,Insurance_cost-Medium _2017,Insurance_cost-Medium _2020,Operating_Period,Plant_Size,Plant_Type,Pre_1,Pre_2,Pre_3,Pre_4,Pre_5,Pre_6,Pre_7,Pre_8,Pre_Dur,Pre_dev_cost-High _2016,Pre_dev_cost-High _2017,Pre_dev_cost-High _2020,Pre_dev_cost-Low _2016,Pre_dev_cost-Low _2017,Pre_dev_cost-Low _2020,Pre_dev_cost-Medium _2016,Pre_dev_cost-Medium _2017,Pre_dev_cost-Medium _2020,Type,Unnamed: 0,Var_cost-Medium _2016,Var_cost-Medium _2017,Var_cost-Medium _2020
0,0.93,6840.00,6840.00,6840.00,0.4,0.4,0.2,,,,,,3,700.00,700.00,700.00,500.00,500.00,500.00,600.00,600.00,600.00,0.54,22000.00,22000.00,22000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.00,1990.00,1990.00,25.0,1200.0,CCGT H Class,0.44,0.44,0.12,,,,,,3,20.00,20.00,20.00,5.00,5.00,5.00,10.00,10.00,10.00,CCGT,,0.10,0.10,0.10
1,0.06,3440.00,3440.00,3440.00,0.5,0.5,,,,,,,2,300.00,300.00,300.00,200.00,200.00,200.00,300.00,300.00,300.00,0.35,9900.00,9900.00,9900.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.00,960.00,960.00,25.0,625.0,OCGT 600MW 500 hr,0.556,0.444,,,,,,,2,30.00,30.00,30.00,20.00,20.00,20.00,20.00,20.00,20.00,OCGT,,0.10,0.10,0.10
2,0.9,,,7400.00,0.05,0.05,0.2,0.2,0.2,0.2,0.05,0.05,8,,,4600.00,,,3700.00,,,4100.00,1.0,,,72000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10000.00,60.0,3300.0,Nuclear - PWR FOAK,0.2,0.2,0.2,0.2,0.2,,,,5,,,470.00,,,110.00,,,210.00,Nuclear,,,,3.00
3,0.93,6700.00,6700.00,6700.00,0.4,0.4,0.2,,,,,,3,700.00,700.00,700.00,500.00,500.00,500.00,600.00,600.00,600.00,0.34,46300.00,46300.00,46300.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.00,2000.00,2000.00,25.0,168.0,CCGT CHP mode,0.435,0.435,0.13,,,,,,3,75.00,75.00,75.00,30.00,30.00,30.00,50.00,50.00,50.00,CCGT,,0.10,0.10,0.10
4,0.83,0,0,0,0.444,0.444,0.111,,,,,,2,6900.00,6800.00,6600.00,5100.00,5000.00,4900.00,6800.00,6700.00,6500.00,0.25,414800.00,410900.00,399500.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21900.00,21700.00,21050.00,25.0,9.0,ACT Advanced,0.364,0.364,0.273,,,,,,3,1000.00,1000.00,1000.00,170.00,170.00,170.00,410.00,410.00,410.00,ACT,,13.00,13.00,13.00
5,0.83,5570.00,5520.00,5360.00,0.5,0.5,,,,,,,2,10100.00,10000.00,9800.00,900.00,900.00,900.00,5600.00,5500.00,5400.00,0.21,426000.00,422000.00,410000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21890.00,21680.00,21070.00,25.0,12.0,ACT Standard,0.364,0.364,0.273,,,,,,3,1005.00,1005.00,1005.00,165.00,165.00,165.00,360.00,360.00,360.00,ACT,,25.00,25.00,25.00
6,0.84,1380.00,1370.00,1350.00,0.5,0.5,,,,,,,2,4600.00,4600.00,4500.00,2000.00,2100.00,2000.00,2500.00,2500.00,2400.00,0.29,96500.00,95900.00,94400.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14320.00,14240.00,14020.00,25.0,23.0,Dedicated Biomass,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,40.00,40.00,40.00,15.00,15.00,15.00,30.00,30.00,30.00,Biomass,,5.00,5.00,5.00
7,0.84,1600.00,1600.00,1600.00,0.5,0.5,,,,,,,2,5100.00,5000.00,4900.00,2500.00,2500.00,2500.00,3600.00,3500.00,3500.00,0.29,112000.00,111000.00,109000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16600.00,16500.00,16200.00,25.0,23.0,Dedicated Biomass,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,110.00,110.00,110.00,40.00,40.00,40.00,95.00,95.00,95.00,Biomass,,5.00,5.00,5.00
8,0.32,4510.00,4510.00,4510.00,0.5,0.5,,,,,,,2,1800.00,1800.00,1700.00,1100.00,1100.00,1100.00,1500.00,1500.00,1400.00,0.0,37100.00,37100.00,37200.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.00,3010.00,3010.00,24.0,20.0,Onshore UK>5MW,0.25,0.25,0.25,0.25,,,,,4,240.00,240.00,240.00,30.00,30.00,30.00,100.00,100.00,100.00,Onshore,,5.00,5.00,5.00
9,0.32,0,0,0,0.5,0.5,,,,,,,2,2300.00,2300.00,2300.00,1600.00,1600.00,1600.00,2000.00,2000.00,2000.00,0.0,29600.00,29400.00,29000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,24.0,20.0,Onshore UK>5MW,0.25,0.25,0.25,0.25,,,,,4,,,,,,,0,0,0,Onshore,,0,0,0
10,0.43,45900.00,44200.00,39900.00,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,2900.00,2700.00,2400.00,2100.00,2000.00,1700.00,2500.00,2300.00,2000.00,0.0,62900.00,60500.00,54600.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11600.00,11100.00,10000.00,23.0,321.0,Offshore R2,0.222,0.222,0.222,0.222,0.111,,,,5,120.00,120.00,120.00,50.00,50.00,50.00,70.00,70.00,70.00,Offshore,,2.00,2.00,2.00
11,0.48,60600.00,57200.00,49400.00,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,3100.00,3000.00,2600.00,2200.00,2100.00,1800.00,2600.00,2400.00,2100.00,0.0,70900.00,67000.00,57800.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32800.00,31000.00,26700.00,22.0,844.0,Offshore R3,0.222,0.222,0.222,0.222,0.111,,,,5,150.00,150.00,150.00,50.00,50.00,50.00,105.00,105.00,105.00,Offshore,,0,0,0
12,0.35,0,0,0,0.7,0.3,,,,,,,2,,,,,,,3100.00,3100.00,3300.00,1.0,43500.00,43600.00,43700.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,41.0,11.0,Hydro 5-16MW,0.77,0.23,,,,,,,2,,,,,,,50.00,50.00,50.00,Hydro,,10.00,11.00,12.00
13,0.81,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,5200.00,5200.00,5100.00,4500.00,4500.00,4500.00,4900.00,4900.00,4800.00,0.28,222000.00,222000.00,222000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,35.0,30.0,EfW,0.228,0.228,0.228,0.228,0.09,,,,5,,,,,,,0,0,0,EfW,,25.00,25.00,25.00
14,0.8,1400.00,1400.00,1400.00,0.5,0.5,,,,,,,2,5000.00,5000.00,4900.00,2700.00,2700.00,2700.00,3900.00,3800.00,3800.00,0.23,149900.00,149100.00,146700.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25400.00,25300.00,24900.00,24.0,14.0,Biomass CHP,0.33299999999999996,0.33299999999999996,0.33299999999999996,,,,,,3,,,,,,,0,0,0,Biomass,,10.00,11.00,12.00
15,0.79,8700.00,8700.00,8700.00,1.0,,,,,,,,1,7200.00,7200.00,7000.00,1700.00,1700.00,1700.00,4000.00,3900.00,3900.00,0.4,301000.00,301000.00,301000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58000.00,58100.00,58200.00,20.0,2.0,AD,0.667,0.33299999999999996,,,,,,,2,580.00,580.00,580.00,50.00,50.00,50.00,180.00,180.00,180.00,AD,,30.00,30.00,30.00
16,0.79,0,0,0,1.0,,,,,,,,1,6000.00,6000.00,6000.00,3000.00,3000.00,3000.00,4500.00,4500.00,4500.00,0.4,714800.00,714800.00,714800.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,2.0,AD,0.667,0.33299999999999996,,,,,,,2,,,,,,,0,0,0,AD,,0,0,0
17,0.79,8700.00,8700.00,8700.00,1.0,,,,,,,,1,7200.00,7200.00,7200.00,1800.00,1800.00,1800.00,4200.00,4200.00,4100.00,0.32,364000.00,364000.00,365000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58000.00,58100.00,58200.00,20.0,2.0,AD CHP,0.667,0.33299999999999996,,,,,,,2,,,,,,,0,0,0,AD,,20.00,20.00,20.00
18,0.83,5600.00,5500.00,5400.00,0.444,0.444,0.111,,,,,,2,10600.00,10500.00,10300.00,1000.00,1000.00,900.00,5900.00,5800.00,5700.00,0.24,425800.00,421800.00,410000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21900.00,21700.00,21100.00,25.0,1.0,ACT CHP,0.364,0.364,0.273,,,,,,3,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,ACT,,10.00,11.00,12.00
19,0.11,0,0,0,1.0,,,,,,,,0,1100.00,1100.00,900.00,900.00,900.00,800.00,1000.00,1000.00,900.00,0.0,22600.00,22400.00,21900.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,25.0,16.0,PV>5MW,1.0,,,,,,,,1,,,,,,,0,0,0,PV,,0,0,0
20,0.11,0,0,0,1.0,,,,,,,,0,2500.00,2400.00,2100.00,1500.00,1400.00,1300.00,1900.00,1800.00,1600.00,1.0,23700.00,23600.00,23500.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,30.0,0.003,Solar <10kW,,,,,,,,,0,,,,,,,0,0,0,PV,,0,0,0
21,0.21,0,0,0,1.0,,,,,,,,0,6100.00,6100.00,6100.00,5000.00,5000.00,5000.00,5500.00,5500.00,5500.00,1.0,73000.00,73000.00,73000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,0.01,Onshore <50kW,,,,,,,,,0,,,,,,,0,0,0,Onshore,,0,0,0
22,0.65,0,0,0,1.0,,,,,,,,0,8000.00,8000.00,8000.00,4000.00,4000.00,4000.00,6000.00,6000.00,6000.00,0.38,924000.00,924000.00,924000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,0.155,AD < 250kW,,,,,,,,,0,,,,,,,0,0,0,AD,,0,0,0
23,0.4,0,0,0,1.0,,,,,,,,0,10000.00,10000.00,10000.00,2000.00,2000.00,2000.00,4500.00,4500.00,4500.00,1.0,104000.00,104000.00,104000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,35.0,1.046,Hydropower 500-2000kW,,,,,,,,,0,,,,,,,0,0,0,Hydro,,0,0,0
24,0.6,0,0,0,1.0,,,,,,,,0,21400.00,21400.00,21400.00,4200.00,4200.00,4200.00,9500.00,9500.00,9500.00,1.0,110000.00,110000.00,110000.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,35.0,0.033,Hydropower <100kW,,,,,,,,,0,,,,,,,0,0,0,Hydro,,0,0,0
0,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,79600.0,,,15000.0,,,5000.0,,,10000.0,,,19300.0,25.0,624.0,Coal - CCS ASC NH3 FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,2.0,,,3.0
48,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,3400000.0,,,2100000.0,,,2600000.0,0.38,,,56400.0,,,15000.0,,,5000.0,,,10000.0,,,9600.0,25.0,734.0,Coal - CCS ASC Partial FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,80000.0,,,40000.0,,,60000.0,Coal,52.0,,,3.0
49,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,78500.0,,,15000.0,,,5000.0,,,10000.0,,,15800.0,25.0,624.0,Coal - CCS ASC FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,53.0,,,3.0
0,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,79600.0,,,15000.0,,,5000.0,,,10000.0,,,19300.0,25.0,624.0,Coal - CCS ASC NH3 FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,2.0,,,3.0
48,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,3400000.0,,,2100000.0,,,2600000.0,0.38,,,56400.0,,,15000.0,,,5000.0,,,10000.0,,,9600.0,25.0,734.0,Coal - CCS ASC Partial FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,80000.0,,,40000.0,,,60000.0,Coal,52.0,,,3.0
49,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,78500.0,,,15000.0,,,5000.0,,,10000.0,,,15800.0,25.0,624.0,Coal - CCS ASC FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,53.0,,,3.0
51,0.22,-31900.0,-31900.0,-31900.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,0.32,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Gas 2000 hr ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_gas,55.0,2.0,2.0,2.0
52,0.05,-28500.0,-28500.0,-28500.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,0.32,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,15.0,20.0,RECIP GAS 500 hrs ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_gas,56.0,2.0,2.0,2.0
0,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,79600.0,,,15000.0,,,5000.0,,,10000.0,,,19300.0,25.0,624.0,Coal - CCS ASC NH3 FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,2.0,,,3.0
48,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,3400000.0,,,2100000.0,,,2600000.0,0.38,,,56400.0,,,15000.0,,,5000.0,,,10000.0,,,9600.0,25.0,734.0,Coal - CCS ASC Partial FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,80000.0,,,40000.0,,,60000.0,Coal,52.0,,,3.0
49,0.91,,,3800.0,0.2,0.2,0.2,0.2,0.2,,,,5,,,5500000.0,,,3400000.0,,,4200000.0,0.32,,,78500.0,,,15000.0,,,5000.0,,,10000.0,,,15800.0,25.0,624.0,Coal - CCS ASC FOAK ,0.2,0.2,0.2,0.2,0.2,,,,5,,,110000.0,,,60000.0,,,70000.0,Coal,53.0,,,3.0
51,0.22,-31900.0,-31900.0,-31900.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,0.32,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Gas 2000 hr ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_gas,55.0,2.0,2.0,2.0
52,0.05,-28500.0,-28500.0,-28500.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,0.32,10000.0,10000.0,10000.0,10300.0,10300.0,10300.0,700.0,700.0,700.0,3400.0,3400.0,3400.0,1000.0,1000.0,1000.0,15.0,20.0,RECIP GAS 500 hrs ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_gas,56.0,2.0,2.0,2.0
56,0.22,-31900.0,-31900.0,-31900.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,0.34,10000.0,10000.0,10000.0,6500.0,6500.0,6500.0,400.0,400.0,400.0,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Diesel 2000 hr ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_diesel,60.0,2.0,2.0,2.0
57,0.05,-28500.0,-28500.0,-28500.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,0.34,10000.0,10000.0,10000.0,6500.0,6500.0,6500.0,400.0,400.0,400.0,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Diesel 500 hrs ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_diesel,61.0,2.0,2.0,2.0
58,0.01,-28000.0,-28000.0,-28000.0,1.0,,,,,,,,1,300000.0,300000.0,300000.0,200000.0,200000.0,200000.0,300000.0,300000.0,300000.0,0.34,10000.0,10000.0,10000.0,6500.0,6500.0,6500.0,400.0,400.0,400.0,2200.0,2200.0,2200.0,1000.0,1000.0,1000.0,15.0,20.0,Recip Diesel 90 hrs ,0.5,0.5,,,,,,,2,20000.0,20000.0,20000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,Recip_diesel,62.0,2.0,2.0,2.0
